,time,bid_ask,round
0,19399,-1,1601
1,19400,-1,1601
2,19401,-1,1601
3,19402,-1,1601
4,19403,-1,1601
5,19404,-1,1601
6,19405,-1,1601
7,19406,-1,1601
8,19407,-1,1601
9,19408,-1,1601
10,19409,-1,1601
11,19410,-1,1601
12,19411,-1,1601
13,19412,-1,1601
14,19413,-1,1601
15,19414,-1,1601
16,19415,-1,1601
17,19416,-1,1601
18,19417,-1,1601
19,19418,-1,1601
20,19419,-1,1601
21,19420,-1,1601
22,19421,-1,1601
23,19422,-1,1601
24,19423,-1,1601
25,19424,-1,1601
26,19425,-1,1601
27,19426,-1,1601
28,19427,-1,1601
29,19428,-1,1601
30,19429,-1,1601
31,19430,-1,1601
32,19431,-1,1601
33,19432,-1,1601
34,19433,-1,1601
35,19434,-1,1601
36,19435,-1,1601
37,19436,-1,1601
38,19437,-1,1601
39,19438,-1,1601
40,19439,-1,1601
41,19440,-1,1601
42,19441,-1,1601
43,19442,-1,1601
44,19443,-1,1601
45,19444,-1,1601
46,19445,195,1601
47,19446,195,1601
48,19447,200,1601
49,19448,190,1601
50,19449,190,1601
51,19450,460,1601
52,19451,460,1601
53,19452,460,1601
54,19453,460,1601
55,19454,460,1601
56,19455,180,1601
57,19456,485,1601
58,19457,485,1601
59,19458,485,1601
60,19459,485,1601
61,19460,485,1601
62,19461,455,1601
63,19462,455,1601
64,19463,455,1601
65,19464,10,1601
66,19465,10,1601
67,19466,10,1601
68,19467,455,1601
69,19468,455,1601
70,19469,455,1601
71,19470,455,1601
72,19471,455,1601
73,19472,450,1601
74,19473,450,1601
75,19474,450,1601
76,19475,450,1601
77,19476,450,1601
78,19477,450,1601
79,19478,450,1601
80,19479,450,1601
81,19480,450,1601
82,19481,445,1601
83,19482,445,1601
84,19483,450,1601
85,19484,450,1601
86,19485,450,1601
87,19486,150,1601
88,19487,150,1601
89,19488,150,1601
90,19489,5,1601
91,19490,5,1601
92,19491,5,1601
93,19492,150,1601
94,19493,150,1601
95,19494,150,1601
96,19495,150,1601
97,19496,150,1601
98,19497,135,1601
99,19498,135,1601
100,19499,150,1601
101,19500,455,1601
102,19501,175,1601
103,19502,175,1601
104,19503,175,1601
105,19504,175,1601
106,19505,455,1601
107,19506,455,1601
108,19507,455,1601
109,19508,455,1601
110,19509,300,1601
111,19510,300,1601
112,19511,300,1601
113,19512,300,1601
