,seconds,price,buy_sell,round
0,19413.466,550,1,1601
1,19417.35,605,1,1601
2,19422.324999999997,605,1,1601
3,19425.347,580,1,1601
4,19428.606,580,1,1601
5,19431.436999999998,605,1,1601
6,19434.589,595,1,1601
7,19437.267,540,1,1601
8,19439.728000000003,540,1,1601
9,19443.036,595,1,1601
10,19446.199,600,1,1601
11,19449.211000000003,405,-1,1601
12,19449.61,595,1,1601
13,19452.610999999997,155,1,1601
14,19455.273999999998,425,-1,1601
15,19455.581,605,1,1601
16,19458.674,155,1,1601
17,19461.659,155,1,1601
18,19466.528,155,1,1601
19,19482.339999999997,590,1,1601
20,19485.547,595,1,1601
21,19491.321000000004,595,-1,1601
22,19498.273999999998,465,-1,1601
23,19499.374000000003,450,-1,1601
24,19504.440000000002,425,-1,1601
25,19548.364,595,1,1601
26,19591.567000000003,530,-1,1601
27,19592.731,530,-1,1601
28,19597.246,360,-1,1601
29,19600.508,355,-1,1601
30,19605.798000000003,355,-1,1601
31,19608.807,325,-1,1601
32,19612.102,340,-1,1601
33,19619.838000000003,530,1,1601
34,19621.165999999997,530,1,1601
35,19632.656000000003,530,1,1601
36,19665.194000000003,445,-1,1601
37,19982.849000000002,545,-1,1602
38,19986.464999999997,555,1,1602
39,19987.237999999998,585,1,1602
40,19989.201,545,-1,1602
41,19989.903,555,1,1602
42,19992.627999999997,555,1,1602
43,20009.371,555,1,1602
44,20021.138,550,1,1602
45,20072.242,545,-1,1602
46,20076.939,545,-1,1602
47,20079.631,545,-1,1602
48,20082.336000000003,545,-1,1602
49,20085.000999999997,510,-1,1602
50,20121.563000000002,545,-1,1602
51,20129.538,540,1,1602
52,20162.646999999997,510,-1,1602
53,20172.114999999998,510,-1,1602
54,20196.641000000003,510,-1,1602
55,20226.047,500,1,1602
56,20228.716999999997,500,1,1602
57,20231.303,500,1,1602
58,20240.127,495,1,1602
59,20246.466999999997,510,1,1602
60,20451.629,500,1,1603
61,20461.665999999997,500,1,1603
62,20466.886,520,1,1603
63,20469.502,565,1,1603
64,20472.311,545,-1,1603
65,20478.006999999998,565,1,1603
66,20484.718,575,1,1603
67,20503.400999999998,505,1,1603
68,20505.010000000002,580,1,1603
69,20506.639000000003,505,1,1603
70,20512.983,545,-1,1603
71,20612.371,505,1,1603
72,20623.036,510,1,1603
73,20639.663999999997,500,1,1603
74,20650.188000000002,500,-1,1603
75,20815.531000000003,460,-1,1604
76,20822.928,405,1,1604
77,20859.190000000002,500,1,1604
78,20875.379,510,1,1604
79,20894.945,450,-1,1604
80,20907.578,450,-1,1604
81,20918.326,500,-1,1604
