Order_ID,Participant,Type,Period_IF_Robot
405589,0,Manual,-1
405629,0,ROBOT,0
405633,0,ROBOT,0
405643,0,ROBOT,0
405649,0,ROBOT,0
405655,0,ROBOT,0
405657,0,ROBOT,0
405660,0,ROBOT,0
405664,0,ROBOT,0
405675,0,ROBOT,0
405690,0,ROBOT,0
405704,0,ROBOT,0
405707,0,ROBOT,0
405725,0,ROBOT,0
405728,0,ROBOT,0
405732,0,ROBOT,0
405737,0,ROBOT,0
405741,0,ROBOT,0
405743,0,ROBOT,0
405811,0,Manual,-1
405828,0,Manual,-1
405845,0,Manual,-1
405848,0,Manual,-1
405902,0,Manual,-1
405908,0,Manual,-1
405910,0,ROBOT,2
405911,0,Manual,-1
405913,0,Manual,-1
405917,0,Manual,-1
405923,0,Manual,-1
405927,0,Manual,-1
405929,0,Manual,-1
405932,0,Manual,-1
405935,0,Manual,-1
405952,0,ROBOT,2
405964,0,ROBOT,2
405968,0,ROBOT,2
405971,0,Manual,-1
405975,0,Manual,-1
405986,0,ROBOT,2
405988,0,ROBOT,2
405993,0,Manual,-1
405996,0,Manual,-1
405999,0,Manual,-1
406000,0,Manual,-1
406012,0,Manual,-1
406015,0,Manual,-1
406019,0,Manual,-1
406025,0,Manual,-1
406027,0,Manual,-1
406038,0,Manual,-1
406046,0,Manual,-1
406054,0,Manual,-1
406070,0,Manual,-1
406084,0,Manual,-1
406085,0,Manual,-1
406088,0,Manual,-1
406123,0,Manual,-1
406134,0,Manual,-1
406143,0,Manual,-1
406150,0,Manual,-1
406161,0,Manual,-1
406179,0,Manual,-1
406200,0,ROBOT,5
406209,0,ROBOT,5
406213,0,ROBOT,5
406253,0,Manual,-1
406257,0,Manual,-1
406271,0,Manual,-1
406276,0,Manual,-1
406302,0,Manual,-1
406307,0,Manual,-1
406350,0,Manual,-1
406365,0,Manual,-1
406380,0,Manual,-1
406385,0,Manual,-1
406391,0,Manual,-1
406401,0,Manual,-1
406427,0,Manual,-1
406441,0,Manual,-1
406446,0,Manual,-1
406449,0,Manual,-1
406491,0,Manual,-1
406495,0,Manual,-1
406501,0,Manual,-1
406512,0,Manual,-1
406513,0,Manual,-1
406549,0,Manual,-1
406551,0,Manual,-1
406553,0,Manual,-1
406564,0,Manual,-1
406586,0,Manual,-1
406607,0,Manual,-1
406620,0,Manual,-1
406625,0,Manual,-1
406629,0,Manual,-1
406632,0,Manual,-1
406640,0,Manual,-1
406670,0,Manual,-1
406682,0,Manual,-1
406693,0,ROBOT,12
406697,0,ROBOT,12
406713,0,ROBOT,12
406716,0,ROBOT,12
406729,0,ROBOT,12
406772,0,ROBOT,13
406797,0,ROBOT,13
406805,0,ROBOT,13
406812,0,ROBOT,13
406818,0,Manual,-1
406824,0,Manual,-1
406841,0,ROBOT,13
406905,0,Manual,-1
406917,0,Manual,-1
405588,1,ROBOT,0
405591,1,ROBOT,0
405618,1,ROBOT,0
405667,1,ROBOT,0
405670,1,ROBOT,0
405719,1,ROBOT,0
405720,1,ROBOT,0
405736,1,Manual,-1
405744,1,ROBOT,1
405749,1,Manual,-1
405773,1,Manual,-1
405792,1,Manual,-1
405807,1,Manual,-1
405815,1,ROBOT,1
405823,1,Manual,-1
405836,1,Manual,-1
405858,1,Manual,-1
405863,1,ROBOT,1
405868,1,ROBOT,1
405873,1,Manual,-1
405874,1,Manual,-1
405875,1,Manual,-1
405879,1,ROBOT,1
405880,1,Manual,-1
405883,1,Manual,-1
405885,1,Manual,-1
405886,1,Manual,-1
405903,1,ROBOT,2
405916,1,ROBOT,2
405924,1,ROBOT,2
405951,1,ROBOT,2
405960,1,ROBOT,2
405976,1,Manual,-1
405985,1,Manual,-1
406003,1,Manual,-1
406006,1,Manual,-1
406010,1,Manual,-1
406013,1,Manual,-1
406023,1,ROBOT,3
406024,1,ROBOT,3
406028,1,Manual,-1
406048,1,Manual,-1
406051,1,Manual,-1
406097,1,Manual,-1
406109,1,ROBOT,4
406112,1,ROBOT,4
406121,1,Manual,-1
406132,1,Manual,-1
406135,1,Manual,-1
406160,1,Manual,-1
406166,1,Manual,-1
406167,1,Manual,-1
406171,1,Manual,-1
406172,1,Manual,-1
406184,1,Manual,-1
406185,1,ROBOT,5
406190,1,ROBOT,5
406206,1,ROBOT,5
406224,1,ROBOT,5
406229,1,Manual,-1
406230,1,Manual,-1
406256,1,Manual,-1
406294,1,ROBOT,6
406312,1,Manual,-1
406315,1,Manual,-1
406326,1,Manual,-1
406329,1,Manual,-1
406333,1,Manual,-1
406341,1,Manual,-1
406342,1,ROBOT,7
406343,1,Manual,-1
406351,1,Manual,-1
406355,1,Manual,-1
406361,1,Manual,-1
406363,1,Manual,-1
406367,1,Manual,-1
406377,1,Manual,-1
406388,1,Manual,-1
406389,1,Manual,-1
406400,1,Manual,-1
406432,1,Manual,-1
406435,1,Manual,-1
406438,1,Manual,-1
406440,1,Manual,-1
406442,1,Manual,-1
406443,1,Manual,-1
406444,1,Manual,-1
406448,1,Manual,-1
406453,1,Manual,-1
406456,1,Manual,-1
406469,1,Manual,-1
406498,1,Manual,-1
406502,1,Manual,-1
406508,1,Manual,-1
406518,1,Manual,-1
406537,1,Manual,-1
406552,1,Manual,-1
406573,1,Manual,-1
406587,1,Manual,-1
406602,1,Manual,-1
406614,1,ROBOT,11
406637,1,Manual,-1
406674,1,Manual,-1
406677,1,Manual,-1
406710,1,Manual,-1
406718,1,Manual,-1
406752,1,Manual,-1
406760,1,Manual,-1
406770,1,Manual,-1
406784,1,Manual,-1
406792,1,ROBOT,13
406796,1,Manual,-1
406823,1,ROBOT,13
406826,1,Manual,-1
406842,1,ROBOT,14
406887,1,Manual,-1
406904,1,ROBOT,14
406916,1,Manual,-1
407025,1,Manual,-1
407031,1,Manual,-1
407063,1,Manual,-1
405593,2,Manual,-1
405614,2,Manual,-1
405637,2,Manual,-1
405671,2,Manual,-1
405676,2,Manual,-1
405685,2,Manual,-1
405711,2,Manual,-1
405714,2,Manual,-1
405726,2,Manual,-1
405731,2,Manual,-1
405738,2,Manual,-1
405783,2,Manual,-1
405808,2,Manual,-1
405813,2,Manual,-1
405818,2,Manual,-1
405834,2,Manual,-1
405843,2,Manual,-1
405866,2,Manual,-1
405881,2,Manual,-1
405934,2,Manual,-1
405941,2,Manual,-1
405958,2,Manual,-1
405973,2,Manual,-1
405990,2,Manual,-1
406040,2,Manual,-1
406055,2,Manual,-1
406061,2,Manual,-1
406076,2,Manual,-1
406117,2,Manual,-1
406126,2,Manual,-1
406151,2,Manual,-1
406158,2,Manual,-1
406182,2,Manual,-1
406216,2,Manual,-1
406232,2,Manual,-1
406255,2,Manual,-1
406259,2,Manual,-1
406283,2,Manual,-1
406295,2,Manual,-1
406317,2,Manual,-1
406321,2,Manual,-1
406337,2,Manual,-1
406358,2,Manual,-1
406369,2,Manual,-1
406396,2,Manual,-1
406409,2,Manual,-1
406428,2,Manual,-1
406458,2,Manual,-1
406475,2,Manual,-1
406497,2,Manual,-1
406503,2,Manual,-1
406533,2,Manual,-1
406570,2,Manual,-1
406595,2,Manual,-1
406634,2,Manual,-1
406681,2,Manual,-1
406708,2,Manual,-1
406724,2,Manual,-1
406742,2,Manual,-1
406745,2,Manual,-1
406775,2,Manual,-1
406833,2,Manual,-1
406839,2,Manual,-1
406843,2,Manual,-1
406888,2,Manual,-1
406902,2,Manual,-1
407014,2,Manual,-1
407030,2,Manual,-1
405596,3,Manual,-1
405603,3,Manual,-1
405605,3,Manual,-1
405608,3,Manual,-1
405612,3,Manual,-1
405621,3,ROBOT,0
405626,3,ROBOT,0
405630,3,ROBOT,0
405635,3,ROBOT,0
405644,3,ROBOT,0
405648,3,ROBOT,0
405653,3,ROBOT,0
405658,3,ROBOT,0
405661,3,ROBOT,0
405665,3,ROBOT,0
405668,3,ROBOT,0
405678,3,Manual,-1
405681,3,ROBOT,0
405683,3,ROBOT,0
405688,3,ROBOT,0
405699,3,ROBOT,0
405723,3,Manual,-1
405729,3,Manual,-1
405768,3,Manual,-1
405777,3,Manual,-1
405794,3,ROBOT,1
405796,3,ROBOT,1
405817,3,ROBOT,1
405837,3,Manual,-1
405839,3,Manual,-1
405846,3,Manual,-1
405849,3,Manual,-1
405851,3,Manual,-1
405854,3,Manual,-1
405856,3,Manual,-1
405859,3,Manual,-1
405862,3,Manual,-1
405865,3,Manual,-1
405905,3,ROBOT,2
405931,3,ROBOT,2
405944,3,ROBOT,2
405946,3,ROBOT,2
405949,3,ROBOT,2
405953,3,ROBOT,2
405956,3,ROBOT,2
405961,3,ROBOT,2
405963,3,Manual,-1
405965,3,ROBOT,2
405967,3,ROBOT,2
405970,3,ROBOT,2
405972,3,ROBOT,2
405978,3,ROBOT,2
405979,3,ROBOT,2
405980,3,ROBOT,2
405981,3,ROBOT,2
405994,3,ROBOT,2
406007,3,Manual,-1
406022,3,ROBOT,3
406032,3,Manual,-1
406053,3,Manual,-1
406068,3,ROBOT,3
406071,3,ROBOT,3
406074,3,ROBOT,3
406078,3,ROBOT,3
406081,3,ROBOT,3
406082,3,ROBOT,3
406083,3,ROBOT,3
406086,3,ROBOT,3
406095,3,Manual,-1
406099,3,ROBOT,3
406104,3,ROBOT,3
406114,3,Manual,-1
406144,3,Manual,-1
406154,3,Manual,-1
406155,3,Manual,-1
406162,3,Manual,-1
406164,3,Manual,-1
406173,3,Manual,-1
406175,3,Manual,-1
406177,3,Manual,-1
406181,3,Manual,-1
406188,3,ROBOT,5
406192,3,ROBOT,5
406196,3,ROBOT,5
406201,3,ROBOT,5
406204,3,ROBOT,5
406207,3,ROBOT,5
406211,3,ROBOT,5
406214,3,ROBOT,5
406217,3,ROBOT,5
406221,3,ROBOT,5
406238,3,Manual,-1
406239,3,ROBOT,5
406241,3,ROBOT,5
406243,3,ROBOT,5
406245,3,ROBOT,5
406247,3,ROBOT,5
406252,3,Manual,-1
406258,3,Manual,-1
406272,3,Manual,-1
406277,3,Manual,-1
406293,3,ROBOT,6
406298,3,ROBOT,6
406301,3,ROBOT,6
406305,3,ROBOT,6
406306,3,ROBOT,6
406309,3,ROBOT,6
406323,3,Manual,-1
406328,3,Manual,-1
406331,3,Manual,-1
406345,3,ROBOT,7
406366,3,Manual,-1
406375,3,Manual,-1
406384,3,ROBOT,8
406421,3,ROBOT,8
