,participant,start_time,end_time,duration,robot_side,robot_type,robot_fv,robot_submit
0,0.0,19426.0,19457.0,31.0,SELL,MARKET_MAKER,475.0,8.0
1,0.0,19481.0,19496.0,15.0,SELL,MARKET_MAKER,400.0,1.0
2,0.0,19529.0,19547.0,18.0,SELL,MARKET_MAKER,400.0,3.0
3,0.0,19580.0,19621.0,41.0,SELL,REACTIVE,475.0,6.0
4,0.0,20024.0,20069.0,45.0,BUY,MARKET_MAKER,425.0,0.0
5,0.0,20422.0,20431.0,9.0,SELL,MARKET_MAKER,450.0,2.0
6,0.0,21463.0,21506.0,43.0,SELL,REACTIVE,400.0,0.0
7,0.0,21829.0,21858.0,29.0,SELL,REACTIVE,450.0,0.0
8,0.0,22445.0,22677.0,232.0,BUY,REACTIVE,425.0,0.0
9,0.0,23168.0,23395.0,227.0,SELL,MARKET_MAKER,425.0,5.0
10,0.0,23422.0,23598.0,176.0,SELL,MARKET_MAKER,425.0,2.0
0,1.0,19310.0,19329.0,19.0,SELL,MARKET_MAKER,475.0,1.0
1,1.0,19332.0,19355.0,23.0,BUY,MARKET_MAKER,225.0,1.0
2,1.0,19356.0,19403.0,47.0,BUY,MARKET_MAKER,400.0,0.0
3,1.0,19408.0,19432.0,24.0,SELL,MARKET_MAKER,475.0,1.0
4,1.0,19433.0,19444.0,11.0,SELL,MARKET_MAKER,450.0,0.0
5,1.0,19447.0,19469.0,22.0,BUY,REACTIVE,400.0,2.0
6,1.0,19473.0,19562.0,89.0,BUY,MARKET_MAKER,400.0,0.0
7,1.0,19564.0,19629.0,65.0,BUY,MARKET_MAKER,250.0,2.0
8,1.0,19765.0,19781.0,16.0,BUY,MARKET_MAKER,375.0,1.0
9,1.0,19784.0,19897.0,113.0,SELL,MARKET_MAKER,475.0,0.0
10,1.0,19900.0,20211.0,311.0,BUY,REACTIVE,350.0,4.0
11,1.0,20212.0,20222.0,10.0,BUY,MARKET_MAKER,350.0,0.0
12,1.0,20224.0,20290.0,66.0,BUY,MARKET_MAKER,400.0,2.0
13,1.0,20291.0,20504.0,213.0,BUY,MARKET_MAKER,375.0,1.0
14,1.0,20623.0,20850.0,227.0,SELL,MARKET_MAKER,500.0,1.0
15,1.0,21070.0,21075.0,5.0,SELL,MARKET_MAKER,475.0,1.0
16,1.0,21077.0,21416.0,339.0,BUY,MARKET_MAKER,400.0,1.0
17,1.0,21419.0,21429.0,10.0,BUY,MARKET_MAKER,375.0,2.0
18,1.0,21440.0,21707.0,267.0,BUY,MARKET_MAKER,425.0,1.0
19,1.0,21709.0,21866.0,157.0,BUY,MARKET_MAKER,400.0,1.0
20,1.0,21991.0,22338.0,347.0,BUY,MARKET_MAKER,400.0,1.0
21,1.0,22928.0,23048.0,120.0,SELL,MARKET_MAKER,450.0,1.0
22,1.0,23617.0,23663.0,46.0,SELL,MARKET_MAKER,450.0,2.0
0,3.0,19310.0,19353.0,43.0,BUY,MARKET_MAKER,475.0,0.0
1,3.0,19422.0,19462.0,40.0,BUY,REACTIVE,475.0,11.0
2,3.0,19525.0,19541.0,16.0,BUY,REACTIVE,475.0,4.0
3,3.0,19851.0,19859.0,8.0,BUY,REACTIVE,475.0,2.0
4,3.0,19905.0,19917.0,12.0,BUY,REACTIVE,375.0,1.0
5,3.0,19938.0,19948.0,10.0,SELL,MARKET_MAKER,475.0,0.0
6,3.0,20233.0,20275.0,42.0,SELL,MARKET_MAKER,475.0,1.0
7,3.0,20293.0,20320.0,27.0,SELL,MARKET_MAKER,475.0,1.0
8,3.0,20333.0,20338.0,5.0,SELL,MARKET_MAKER,400.0,0.0
9,3.0,20365.0,20420.0,55.0,SELL,MARKET_MAKER,475.0,14.0
10,3.0,20439.0,20494.0,55.0,SELL,MARKET_MAKER,450.0,1.0
11,3.0,20619.0,20743.0,124.0,SELL,MARKET_MAKER,450.0,1.0
12,3.0,20748.0,20750.0,2.0,SELL,MARKET_MAKER,400.0,0.0
13,3.0,20782.0,20813.0,31.0,SELL,MARKET_MAKER,400.0,8.0
14,3.0,20837.0,20844.0,7.0,BUY,REACTIVE,400.0,2.0
15,3.0,21054.0,21100.0,46.0,SELL,REACTIVE,450.0,0.0
16,3.0,21132.0,21237.0,105.0,BUY,REACTIVE,475.0,0.0
17,3.0,21414.0,21458.0,44.0,BUY,REACTIVE,475.0,10.0
18,3.0,21514.0,21520.0,6.0,BUY,MARKET_MAKER,450.0,5.0
19,3.0,21709.0,21749.0,40.0,SELL,MARKET_MAKER,475.0,6.0
20,3.0,21988.0,22107.0,119.0,SELL,MARKET_MAKER,475.0,1.0
21,3.0,22210.0,22244.0,34.0,SELL,REACTIVE,425.0,1.0
22,3.0,22277.0,22297.0,20.0,SELL,REACTIVE,425.0,5.0
23,3.0,22452.0,22460.0,8.0,SELL,MARKET_MAKER,450.0,0.0
24,3.0,22541.0,22566.0,25.0,SELL,MARKET_MAKER,425.0,1.0
25,3.0,22732.0,22751.0,19.0,BUY,MARKET_MAKER,350.0,5.0
26,3.0,23156.0,23238.0,82.0,SELL,REACTIVE,400.0,2.0
27,3.0,23416.0,23456.0,40.0,SELL,REACTIVE,375.0,6.0
28,3.0,23477.0,23511.0,34.0,SELL,REACTIVE,250.0,5.0
29,3.0,23611.0,23654.0,43.0,SELL,REACTIVE,250.0,1.0
0,4.0,20368.0,20497.0,129.0,BUY,REACTIVE,400.0,0.0
1,4.0,20641.0,20668.0,27.0,"BUY,SELL",MARKET_MAKER,450.0,0.0
2,4.0,20678.0,20690.0,12.0,BUY,REACTIVE,400.0,3.0
3,4.0,23157.0,23410.0,253.0,BUY,REACTIVE,425.0,0.0
4,4.0,23413.0,23516.0,103.0,BUY,REACTIVE,425.0,10.0
5,4.0,23618.0,23703.0,85.0,BUY,REACTIVE,400.0,32.0
6,4.0,23723.0,23743.0,20.0,BUY,REACTIVE,400.0,9.0
0,6.0,19299.0,19390.0,91.0,"BUY,SELL",MARKET_MAKER,400.0,1.0
1,6.0,19392.0,19624.0,232.0,BUY,MARKET_MAKER,375.0,6.0
2,6.0,19785.0,19878.0,93.0,BUY,MARKET_MAKER,400.0,1.0
3,6.0,19880.0,19930.0,50.0,BUY,MARKET_MAKER,400.0,0.0
4,6.0,19954.0,20009.0,55.0,BUY,MARKET_MAKER,400.0,0.0
5,6.0,20015.0,20078.0,63.0,SELL,MARKET_MAKER,475.0,0.0
6,6.0,20189.0,20192.0,3.0,SELL,MARKET_MAKER,475.0,0.0
7,6.0,20220.0,20414.0,194.0,SELL,REACTIVE,475.0,1.0
8,6.0,20417.0,20498.0,81.0,SELL,REACTIVE,475.0,0.0
9,6.0,20618.0,20663.0,45.0,SELL,REACTIVE,475.0,0.0
