,time,bid_ask,round
0,30115,10,2661
1,30159,10,2661
2,30120,60,2661
3,30121,60,2661
4,30121,60,2661
5,30122,85,2661
6,30123,85,2661
7,30126,60,2661
8,30128,60,2661
9,30131,10,2661
10,30136,10,2661
11,30140,10,2661
12,30140,10,2661
13,30141,10,2661
14,30141,60,2661
15,30143,245,2661
16,30156,25,2661
17,30164,45,2661
18,30173,25,2661
19,30181,20,2661
20,30182,20,2661
21,30183,15,2661
22,30183,15,2661
23,30183,20,2661
24,30184,40,2661
25,30186,40,2661
26,30188,15,2661
27,30188,15,2661
28,30188,15,2661
29,30191,40,2661
30,30192,20,2661
31,30194,5,2661
32,30196,35,2661
33,30205,30,2661
34,30206,30,2661
35,30206,30,2661
36,30206,30,2661
37,30208,175,2661
38,30210,10,2661
39,30211,10,2661
40,30213,110,2661
41,30213,5,2661
42,30215,5,2661
43,30216,5,2661
44,30216,5,2661
45,30218,110,2661
46,30218,5,2661
47,30220,5,2661
48,30220,5,2661
49,30221,5,2661
50,30221,5,2661
51,30222,5,2661
52,30223,5,2661
53,30223,5,2661
54,30223,5,2661
55,30224,5,2661
56,30225,10,2661
57,30226,10,2661
58,30228,25,2661
59,30231,10,2661
60,30234,60,2661
61,30235,80,2661
62,30236,10,2661
63,30238,85,2661
64,30279,205,2661
65,30241,15,2661
66,30242,65,2661
67,30244,95,2661
68,30258,10,2661
69,30261,95,2661
70,30263,95,2661
71,30266,95,2661
72,30268,85,2661
73,30268,85,2661
74,30271,95,2661
75,30284,10,2661
76,30289,10,2661
77,30295,10,2661
78,30296,10,2661
79,30298,95,2661
80,30298,95,2661
81,30300,125,2661
82,30302,95,2661
83,30303,125,2661
84,30306,85,2661
85,30308,95,2661
86,30309,-1,2661
87,30314,80,2661
88,30319,10,2661
89,30332,5,2661
90,30334,70,2661
91,30337,70,2661
92,30341,65,2661
93,30344,5,2661
94,30347,70,2661
95,30351,5,2661
96,30367,45,2661
97,30368,-1,2661
98,30376,10,2661
99,30385,10,2661
100,30392,10,2661
101,30399,5,2661
102,30404,5,2661
103,30404,5,2661
104,30404,5,2661
105,30405,-1,2661
106,30408,-1,2661
107,30519,260,2662
108,30490,10,2662
109,30494,10,2662
110,30506,10,2662
111,30508,60,2662
112,30512,15,2662
113,30515,15,2662
114,30516,15,2662
115,30517,15,2662
116,30518,65,2662
117,30520,15,2662
118,30520,15,2662
119,30523,5,2662
120,30523,5,2662
121,30525,5,2662
122,30526,10,2662
123,30530,10,2662
124,30533,10,2662
125,30534,5,2662
126,30536,5,2662
127,30537,5,2662
128,30538,15,2662
129,30542,5,2662
130,30544,15,2662
131,30545,15,2662
132,30546,15,2662
133,30547,5,2662
134,30548,5,2662
135,30548,15,2662
136,30550,15,2662
137,30550,15,2662
138,30550,15,2662
139,30551,20,2662
140,30552,20,2662
141,30553,20,2662
142,30554,10,2662
143,30568,5,2662
144,30568,5,2662
145,30568,5,2662
146,30568,5,2662
147,30568,5,2662
148,30568,5,2662
149,30570,35,2662
150,30571,35,2662
151,30571,35,2662
152,30573,15,2662
153,30574,15,2662
154,30575,25,2662
155,30576,25,2662
156,30577,40,2662
157,30577,15,2662
158,30578,40,2662
159,30580,40,2662
160,30581,40,2662
161,30582,10,2662
162,30583,10,2662
163,30585,10,2662
164,30589,10,2662
165,30593,10,2662
166,30639,10,2662
167,30602,10,2662
168,30606,5,2662
169,30606,5,2662
170,30610,5,2662
171,30610,5,2662
172,30610,5,2662
173,30611,5,2662
174,30611,10,2662
175,30611,10,2662
176,30614,35,2662
177,30616,25,2662
178,30618,15,2662
179,30620,10,2662
180,30620,10,2662
181,30623,5,2662
182,30626,10,2662
183,30631,5,2662
184,30632,5,2662
185,30633,5,2662
186,30633,5,2662
187,30635,5,2662
188,30636,15,2662
189,30636,5,2662
190,30637,5,2662
191,30638,5,2662
192,30639,5,2662
193,30641,5,2662
194,30643,5,2662
195,30648,5,2662
196,30649,5,2662
197,30650,5,2662
198,30652,5,2662
199,30652,5,2662
200,30653,5,2662
201,30654,5,2662
202,30655,5,2662
203,30655,5,2662
204,30656,5,2662
205,30656,5,2662
206,30656,5,2662
207,30656,5,2662
208,30657,5,2662
209,30657,15,2662
210,30699,10,2662
211,30699,10,2662
212,30661,10,2662
213,30662,10,2662
214,30664,10,2662
215,30664,10,2662
216,30666,10,2662
217,30669,15,2662
218,30672,5,2662
219,30674,5,2662
220,30677,5,2662
221,30684,5,2662
222,30684,5,2662
223,30685,5,2662
224,30686,5,2662
225,30688,20,2662
226,30689,20,2662
227,30692,30,2662
228,30694,30,2662
229,30696,30,2662
230,30699,5,2662
231,30701,50,2662
232,30709,35,2662
233,30710,40,2662
234,30711,40,2662
235,30716,5,2662
236,30717,5,2662
237,30717,20,2662
238,30759,40,2662
239,30720,40,2662
240,30721,10,2662
241,30723,-1,2662
242,30724,-1,2662
243,30727,-1,2662
244,30729,10,2662
245,30730,10,2662
246,30731,10,2662
247,30733,-1,2662
248,30734,-1,2662
249,30736,40,2662
250,30737,-1,2662
251,30737,10,2662
252,30739,-1,2662
253,30742,10,2662
254,30744,10,2662
255,30745,35,2662
256,30748,10,2662
257,30750,35,2662
258,30754,10,2662
259,30757,40,2662
260,30759,10,2662
261,30761,45,2662
262,30762,45,2662
263,30762,45,2662
264,30764,-1,2662
265,30764,10,2662
266,30768,10,2662
267,30769,10,2662
268,30771,-1,2662
269,30773,-1,2662
270,30774,-1,2662
271,30861,15,2663
272,30864,15,2663
273,30867,15,2663
274,30869,10,2663
275,30871,10,2663
276,30872,10,2663
277,30874,35,2663
278,30875,10,2663
279,30875,10,2663
280,30875,10,2663
281,30877,55,2663
282,30878,30,2663
283,30879,30,2663
284,30880,30,2663
285,30882,20,2663
286,30883,20,2663
287,30883,20,2663
288,30885,30,2663
289,30888,20,2663
290,30888,20,2663
291,30890,30,2663
292,30892,10,2663
293,30892,10,2663
294,30893,30,2663
295,30895,20,2663
296,30895,20,2663
297,30897,20,2663
298,30898,20,2663
299,30900,30,2663
300,30902,35,2663
301,30904,35,2663
302,30905,35,2663
303,30905,35,2663
304,30906,35,2663
305,30907,35,2663
306,30908,65,2663
307,30909,10,2663
308,30910,40,2663
309,30912,30,2663
310,30912,30,2663
311,30912,30,2663
312,30914,30,2663
313,30914,30,2663
314,30915,30,2663
315,30917,30,2663
316,30917,30,2663
317,30917,30,2663
318,30919,30,2663
319,30919,30,2663
320,30921,30,2663
321,30922,30,2663
322,30922,30,2663
323,30928,10,2663
324,30936,10,2663
325,30936,10,2663
326,30940,10,2663
327,30942,10,2663
328,30943,10,2663
329,30944,10,2663
330,30945,10,2663
331,30949,10,2663
332,30951,10,2663
333,30953,10,2663
334,30956,25,2663
335,30956,25,2663
336,30958,35,2663
337,30960,10,2663
338,30961,10,2663
339,30963,35,2663
340,30966,10,2663
341,30966,10,2663
342,30968,40,2663
343,30969,5,2663
344,30971,40,2663
345,30973,5,2663
346,30984,40,2663
347,30985,5,2663
348,30987,10,2663
349,30988,10,2663
350,30990,10,2663
351,30990,10,2663
